neighborhood_id,latitude,longitude
AH,40.8043490199,-73.9617161341
Z,40.7158283067,-73.9542980433
D,40.75017915,-73.9925573146
AT,40.7296695337,-73.9816933196
AG,40.7498434761,-74.0034582691
K,40.7668090934,-73.9568862642
R,40.7382111387,-73.9875443165
A,40.7614915324,-73.9758993398
AK,40.7647234403,-73.9666958503
U,40.7935967707,-73.9698224285
AB,40.7305921491,-74.0031143133
Q,40.7403326667,-74.0051067234
G,40.6461938419,-73.7850725678
AP,40.7409485494,-73.9953940021
AW,40.6810427393,-73.9495647643
Y,40.7425313171,-73.9779427379
C,40.7837803542,-73.9531448659
N,40.7565983201,-73.9683115082
H,40.7296517123,-73.9915951756
V,40.6824634944,-73.9741489817
AC,40.7202450246,-73.9872049262
AO,40.7471255411,-73.9853355678
I,40.7850047136,-73.9760504889
O,40.7752990822,-73.9605507721
X,40.7214351129,-73.998365926
AA,40.7577070564,-73.986445653
AR,40.7664884069,-73.9839980468
AV,40.7762704638,-73.9823215581
AD,40.7521862722,-73.9765148421
F,40.7717481868,-73.8689597516
,40.71696815,-74.0099814688
P,40.7610870341,-73.995736055
AU,40.7072016308,-74.010647535
AM,40.7753573033,-73.9498399847
J,40.7995729167,-73.9404274639
E,40.697483931,-73.9224828924
AN,40.7476733699,-73.946269253
AL,40.8184449425,-73.9480458716
W,40.7665747884,-73.9198528338
AS,40.6920015662,-73.991312969
AJ,40.7472789216,-73.8889903163
L,40.7449280019,-73.9191588636
M,40.6620333984,-73.9959634264
S,40.836791527,-73.9343810221
AF,40.6487023855,-73.96086918
T,40.6987722996,-73.8151378101
AI,40.8309199203,-73.8646010958
B,40.7241083968,-73.8551951446
AE,40.6637599209,-73.8933335078
AQ,40.7589687481,-73.8124029765
